Feature,Importance
AÑO,0.433488014870301
CATEGORIA_PERMANENCIA_MUY_CORTA,0.39795639842768193
SEMESTRE_INGRESO,0.0985545934167373
AÑO_INGRESO,0.06273876632032409
CATEGORIA_PERMANENCIA_CORTA,0.002331670820611276
SEMESTRE,0.0011382038495837846
NUM_PERIODOS_CURSADOS,0.0007000573195042959
PRESION_EDUCACION,0.00037713636661431646
HABITACIONES,0.0003195572930705744
PRESION_VIVIENDA,0.0002638255100224707
EGRESO_PROMEDIO_PERIODO,0.0002438161304378679
PRESION_PRESTAMOS,0.00022955474755130886
BALANCE_ECONOMICO,0.000218602266002612
EGRESO_PRESTAMOS,0.0002144297491741715
GENERO_Masculino,0.00019064839722592725
EGRESO,0.00015959043135203992
RATIO_INGRESO_EGRESO,0.00015127900262926463
EGRESO_EDUCACION,0.00010734314223641119
ESE_IGH_TOTAL_INGRESO,0.00010335438485235945
PISO_Caña,5.561288520468564e-05
CUARTO_ESTUDIO_NO,5.4280117336775335e-05
EGRESO_VIVIENDA,4.487682725745263e-05
ESTADO_CIVIL_Unión libre,3.927837575389891e-05
NIVEL_ACADEMICO_Bachillerato,3.461360359182623e-05
PISO_Ladrillo o cemento,3.3953886643100694e-05
NIVEL_ACADEMICO_Centro de Alfabetización,2.8005253886126224e-05
GENERO_Prefiero no decirlo,2.7461173753518965e-05
ESTRUCTURA_Hormigón,2.3506414305440065e-05
PER_EMP_REMUNERADO,2.2917286188969235e-05
ESTRUCTURA_Adobe o tapia,2.2132253714665702e-05
NIVEL_ACADEMICO_Preescolar,1.5365224687988145e-05
ESTRUCTURA_Ladrillo o bloque,1.4528871896351523e-05
PISO_Tabla sin tratar,1.4029845481719266e-05
VIVIENDA_Arrendada,1.3140547972537984e-05
ESTADO_CIVIL_Soltero/a,1.2370656253943518e-05
NIVEL_ACADEMICO_Universitario,1.1948552061707094e-05
"PISO_Cerámica, baldosa, vinil o mármol",1.1115206743921571e-05
"PISO_Duela, parquet, tablón o piso flotante",9.181177462499921e-06
SERVICIO_HIGIENICO_Conectado a red pública de alcantarillado,8.594930923453524e-06
NIVEL_ACADEMICO_Superior,7.842212541614542e-06
NIVEL_ACADEMICO_Posgrado,4.775760613613332e-06
VIVIENDA_Propia y la está pagando,2.8995076553169846e-06
HIJOS_0,7.269821558938736e-07
ESTADO_CIVIL_Casado/a,1.0268575470721214e-16
"AGUA_De río, vertiente, acequia o canal",0.0
HIJOS_8,0.0
DISC_ALGUNA_1,0.0
ESTRUCTURA_Caña o bahareque,0.0
CATEGORIA_PERMANENCIA_LARGA,0.0
CATEGORIA_PERMANENCIA_MEDIA,0.0
ESTRUCTURA_Caña no revestida,0.0
VIVIENDA_Propia y totalmente pagada,0.0
"VIVIENDA_Propia (regalada, donada, heredada o por posesión)",0.0
VIVIENDA_Prestada o cedida (no paga),0.0
VIVIENDA_Por servicios,0.0
VIVIENDA_Anticresis,0.0
HIJOS_7,0.0
ESTRUCTURA_Estructura metálica,0.0
HIJOS_6,0.0
HIJOS_5,0.0
HIJOS_4,0.0
HIJOS_3,0.0
HIJOS_2,0.0
HIJOS_1,0.0
GENERO_Otro,0.0
GENERO_Femenino,0.0
ESTADO_CIVIL_Viudo/a,0.0
ESTADO_CIVIL_Separado/a,0.0
DISC_ALGUNA_0,0.0
ESTRUCTURA_Madera,0.0
AGUA_Otra fuente por tubería,0.0
NIVEL_ACADEMICO_Bachillerato- Educación Media,0.0
AGUA_Otro (Agua lluvia/albarrada),0.0
ESTADO_CIVIL_Divorciado/a,0.0
SERVICIO_HIGIENICO_Conectado a pozo ciego,0.0
SERVICIO_HIGIENICO_Conectado a pozo séptico,0.0
AGUA_De pozo,0.0
SERVICIO_HIGIENICO_Letrina,0.0
SERVICIO_HIGIENICO_No tiene,0.0
AGUA_De la red pública,0.0
CUARTO_ESTUDIO_SI,0.0
AGUA_De carro repartidor,0.0
PISO_Tierra,0.0
NIVEL_ACADEMICO_Secundario,0.0
NIVEL_ACADEMICO_Ciclo Post Bachillerato,0.0
NIVEL_ACADEMICO_Ciclo Post- Bachillerato,0.0
NIVEL_ACADEMICO_Educación Básica,0.0
NIVEL_ACADEMICO_Educación General Básica,0.0
NIVEL_ACADEMICO_Ignora,0.0
NIVEL_ACADEMICO_Ninguno,0.0
PISO_Otros materiales,0.0
NIVEL_ACADEMICO_Post grado,0.0
ESTRUCTURA_Otros materiales,0.0
NIVEL_ACADEMICO_Primario,0.0
"SERVICIO_HIGIENICO_Con descarga directa al mar, río, lago, o quebrada",0.0
