Feature,Importance
NUM_PERIODOS_CURSADOS,0.1932346636448819
CATEGORIA_PERMANENCIA_MUY_CORTA,0.1834395699249637
AÑO_INGRESO,0.16541076480642428
AÑO,0.14806966465108065
ESTRUCTURA_Ladrillo o bloque,0.061727117376480845
GENERO_Prefiero no decirlo,0.03441003902603037
CATEGORIA_PERMANENCIA_CORTA,0.026737089481884926
CATEGORIA_PERMANENCIA_MEDIA,0.023523503500367353
EGRESO_PROMEDIO_PERIODO,0.018647270882221026
NIVEL_ACADEMICO_Bachillerato- Educación Media,0.018454458359834124
GENERO_Otro,0.016899325448292448
CATEGORIA_PERMANENCIA_LARGA,0.01580541529609766
SEMESTRE_INGRESO,0.014554479739195512
PRESION_PRESTAMOS,0.013080390434279632
SEMESTRE,0.01096065216066778
EGRESO,0.006087707197353454
BALANCE_ECONOMICO,0.0053591634714296645
ESTRUCTURA_Hormigón,0.005251507761948238
RATIO_INGRESO_EGRESO,0.005133636951565799
PISO_Tabla sin tratar,0.004006111376595547
NIVEL_ACADEMICO_Bachillerato,0.0038713192109176026
NIVEL_ACADEMICO_Preescolar,0.0026201657170888833
NIVEL_ACADEMICO_Centro de Alfabetización,0.0025351979571300227
PISO_Ladrillo o cemento,0.0024290194863474134
EGRESO_PRESTAMOS,0.0018724192225750458
CUARTO_ESTUDIO_NO,0.001655995211950533
NIVEL_ACADEMICO_Educación General Básica,0.0015616553999975014
NIVEL_ACADEMICO_Superior,0.0013162652395738456
AGUA_De la red pública,0.001257337456905531
PISO_Caña,0.0008734245984956339
PRESION_EDUCACION,0.0008146248385379112
ESE_IGH_TOTAL_INGRESO,0.0007874133710943789
CUARTO_ESTUDIO_SI,0.0007660017376249209
PER_EMP_REMUNERADO,0.000619107071598622
EGRESO_VIVIENDA,0.0006103458374261765
PRESION_VIVIENDA,0.0005918909071284602
EGRESO_EDUCACION,0.0005177675586456863
ESTADO_CIVIL_Soltero/a,0.0004612585092431803
HABITACIONES,0.00042651257736078254
GENERO_Masculino,0.0004203018546270812
NIVEL_ACADEMICO_Universitario,0.0003996828708072319
NIVEL_ACADEMICO_Post grado,0.0003141072311741962
DISC_ALGUNA_0,0.0003047510704321473
NIVEL_ACADEMICO_Secundario,0.0002484694800275043
SERVICIO_HIGIENICO_Conectado a red pública de alcantarillado,0.00014984640746589162
NIVEL_ACADEMICO_Ciclo Post- Bachillerato,0.0001460091403222039
NIVEL_ACADEMICO_Primario,0.00011845625962492524
ESTRUCTURA_Otros materiales,0.00010046975699778293
VIVIENDA_Arrendada,8.517180273870008e-05
SERVICIO_HIGIENICO_Conectado a pozo séptico,7.452072929007573e-05
"PISO_Cerámica, baldosa, vinil o mármol",6.663088945542398e-05
VIVIENDA_Propia y la está pagando,6.548919243741006e-05
ESTADO_CIVIL_Casado/a,6.377046995989684e-05
VIVIENDA_Prestada o cedida (no paga),6.100604151235437e-05
NIVEL_ACADEMICO_Educación Básica,5.9202538568965e-05
HIJOS_1,5.800040899126388e-05
NIVEL_ACADEMICO_Ignora,5.6067302744236585e-05
HIJOS_0,5.5583063821215124e-05
NIVEL_ACADEMICO_Ciclo Post Bachillerato,5.483527781851702e-05
PISO_Tierra,5.262580292969986e-05
"PISO_Duela, parquet, tablón o piso flotante",4.7245933397765355e-05
NIVEL_ACADEMICO_Ninguno,4.331369398695894e-05
ESTADO_CIVIL_Unión libre,4.077376278374876e-05
ESTRUCTURA_Caña o bahareque,3.909612785446814e-05
ESTRUCTURA_Caña no revestida,3.548574507249553e-05
NIVEL_ACADEMICO_Posgrado,3.3716950855089456e-05
"VIVIENDA_Propia (regalada, donada, heredada o por posesión)",3.358171935868976e-05
DISC_ALGUNA_1,3.3134320819623456e-05
VIVIENDA_Propia y totalmente pagada,3.16084967502487e-05
ESTRUCTURA_Adobe o tapia,3.0427668405935325e-05
HIJOS_4,2.995996901998337e-05
ESTRUCTURA_Madera,2.9377904937592373e-05
"SERVICIO_HIGIENICO_Con descarga directa al mar, río, lago, o quebrada",2.7937670977671946e-05
ESTADO_CIVIL_Separado/a,2.462322020208128e-05
VIVIENDA_Por servicios,2.2265284549622913e-05
HIJOS_2,2.202726084754194e-05
AGUA_De carro repartidor,2.147135923636482e-05
SERVICIO_HIGIENICO_Conectado a pozo ciego,1.733547385217535e-05
GENERO_Femenino,1.565070964356552e-05
SERVICIO_HIGIENICO_No tiene,1.4145088104467775e-05
"AGUA_De río, vertiente, acequia o canal",1.2701051447042106e-05
SERVICIO_HIGIENICO_Letrina,1.1165455218558961e-05
PISO_Otros materiales,9.226316711080797e-06
AGUA_Otra fuente por tubería,9.201133978436925e-06
ESTADO_CIVIL_Divorciado/a,8.83280428137834e-06
HIJOS_3,8.412600862719067e-06
VIVIENDA_Anticresis,5.162109147072578e-06
ESTRUCTURA_Estructura metálica,5.086253490940588e-06
AGUA_De pozo,1.2088938515857241e-06
AGUA_Otro (Agua lluvia/albarrada),5.740273715761228e-07
HIJOS_6,0.0
HIJOS_7,0.0
ESTADO_CIVIL_Viudo/a,0.0
HIJOS_8,0.0
HIJOS_5,0.0
